AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
27404,27404,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,|QMR|,QMR,,,,,,,,,,,
27405,27405,Dressel 20,Dieburg,"Bef. 259, FZ 9837, Fläche 10, unter Pl. 1.",49.897382,8.846132,ilegibile,?,,,,,,,,,,,
27406,27406,Dressel 20,Dieburg,"Nr. 23, Bef. 13.",49.897382,8.846132,|FSCIM/NIANO|,FSCIMNIANO,,Las Delicias,,,,,,,,,
27407,27407,Dressel 20,Dieburg,"Nr. 67, FZ 3, Bef. 1, Abgraben zu Pl. II.",49.897382,8.846132,L''FCCVCA[T],LFCCVCAT,,Isla del Castillo,,,,,,,,,
27407,27407,Dressel 20,Dieburg,"Nr. 67, FZ 3, Bef. 1, Abgraben zu Pl. II.",49.897382,8.846132,L''FCCVCA[T],LFCCVCAT,,Las Ánimas,,,,,,,,,
27408,27408,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,[II]MINACRE^TC'[AL],IIMINACRETCAL,,,,,,,,,,,
27409,27409,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,*EF'c''*,…EFC…?,,,,,,,,,,,
27410,27410,Dressel 20,Dieburg,"Bef. 282, FZ 9856, Fläche 10, unter Pl. 1.",49.897382,8.846132,QCM|,QCM,,,,,,,,,,,
27411,27411,Dressel 20,Dieburg,Theobaldsgraben.,49.897382,8.846132,|S·N·R|,SNR,,La Catria,,,,,,,,,
27412,27412,Dressel 20,Dieburg,"Alstadt 29, Steg zwischen I und II.",49.897382,8.846132,|P·A^RV^A|,PARVA,,La Catria,,,,,,,,,
27413,27413,Dressel 20,Dieburg,"a. 1926, Mithräum.",49.897382,8.846132,|ACIRC,ACIRC,,La Catria,,,,,,,,,
27414,27414,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,MMCS~V^R,MMCSVR,,Alcolea del Río,,,,,,,,,
27414,27414,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,MMCS~V^R,MMCSVR,,El Tejarillo,,,,,,,,,
27415,27415,Dressel 20,Dieburg,"a. 1960, Gärtnerei Coy.",49.897382,8.846132,|F''ICIN^A'*,FICINA…?,,,,,,,,,,,
27416,27416,Dressel 20,Dieburg,"Gräberfeld I, Grab 37.",49.897382,8.846132,|COL''|,COL?,,,,,,,,,,,
27417,27417,Dressel 20,Dieburg,"Alstadt, Apotheke Hinkel.",49.897382,8.846132,[IIIE]N''N·IV^L((palma)),IIIENNIVL((PALMA)),,huerta del río,,,,,,,,,
27418,27418,Dressel 20,Dieburg,"Nr. 23, Bef. 2.",49.897382,8.846132,QFRRIV|,QFRRIV,,Arva,,,,,,,,,
