id,lat,long,type,site,code,place
15616,53.2,-2.916667,Dressel 20,Chester,QANTRVG,Britania
15621,53.2,-2.916667,Dressel 20,Chester,LAPAE,Britania
15655,53.2,-2.916667,Dressel 20,Chester,ATATFTATAF,Britania
15675,53.2,-2.916667,Dressel 20,Chester,AVMONT,Britania
15726,53.2,-2.916667,Dressel 20,Chester,QCC,Britania
15732,53.2,-2.916667,Dressel 20,Chester,QCCA,Britania
15733,53.2,-2.916667,Dressel 20,Chester,QCC,Britania
15758,53.2,-2.916667,Dressel 20,Chester,PCHO,Britania
15918,53.2,-2.916667,Dressel 20,Chester,IIIENNIIVL,Britania
15932,53.2,-2.916667,Dressel 20,Chester,IIIENNIVLHEDERA,Britania
15997,53.2,-2.916667,Dressel 20,Chester,SF,Britania
16003,53.2,-2.916667,Dressel 20,Chester,LEFPC,Britania
16039,53.2,-2.916667,Dressel 20,Chester,MFELICIS,Britania
16083,53.2,-2.916667,Dressel 20,Chester,QIA,Britania
16112,53.2,-2.916667,Dressel 20,Chester,MIAPC,Britania
16241,53.2,-2.916667,Dressel 20,Chester,LIVNIMELISSI,Britania
16252,53.2,-2.916667,Dressel 20,Chester,IIIVNIMELISSETMELISSE,Britania
16313,53.2,-2.916667,Dressel 20,Chester,ALF,Britania
16318,53.2,-2.916667,Dressel 20,Chester,AELFO,Britania
16321,53.2,-2.916667,Dressel 20,Chester,CLMFF,Britania
16350,53.2,-2.916667,Dressel 20,Chester,QMCALLAIDIS,Britania
16354,53.2,-2.916667,Dressel 20,Chester,QME,Britania
16356,53.2,-2.916667,Dressel 20,Chester,LMFE,Britania
16362,53.2,-2.916667,Dressel 20,Chester,CMM,Britania
16381,53.2,-2.916667,Dressel 20,Chester,QMR,Britania
16404,53.2,-2.916667,Dressel 20,Chester,LMVE,Britania
16405,53.2,-2.916667,Dressel 20,Chester,LMVE,Britania
16406,53.2,-2.916667,Dressel 20,Chester,LMVE,Britania
16479,53.2,-2.916667,Dressel 20,Chester,PNN,Britania
16618,53.2,-2.916667,Dressel 20,Chester,PASSERAR,Britania
16700,53.2,-2.916667,Dressel 20,Chester,ROMANI,Britania
16703,53.2,-2.916667,Dressel 20,Chester,ROMANI,Britania
16717,53.2,-2.916667,Dressel 20,Chester,RVFPO,Britania
