"","id","lat","long","type","site","code","country","locationtype"
"298",14636,50.271515,8.566917,"Dressel 20","Saalburg","QMR","Germany","Military Camp"
"299",14654,50.271515,8.566917,"Dressel 20","Saalburg","QMSDI","Germany","Military Camp"
"300",14655,50.271515,8.566917,"Dressel 20","Saalburg","PMV","Germany","Military Camp"
"301",14671,50.271515,8.566917,"Dressel 20","Saalburg","MEDIANAE","Germany","Military Camp"
"302",14672,50.271515,8.566917,"Dressel 20","Saalburg","GNAC","Germany","Military Camp"
"303",14676,50.271515,8.566917,"Dressel 20","Saalburg","PNN","Germany","Military Camp"
"304",14677,50.271515,8.566917,"Dressel 20","Saalburg","PNN","Germany","Military Camp"
"305",14679,50.271515,8.566917,"Dressel 20","Saalburg","PNN","Germany","Military Camp"
"306",14680,50.271515,8.566917,"Dressel 20","Saalburg","PNN","Germany","Military Camp"
"307",14685,50.271515,8.566917,"Dressel 20","Saalburg","PNNAR","Germany","Military Camp"
"308",14695,50.271515,8.566917,"Dressel 20","Saalburg","SNR","Germany","Military Camp"
"309",14696,50.271515,8.566917,"Dressel 20","Saalburg","SNR","Germany","Military Camp"
"310",14699,50.271515,8.566917,"Dressel 20","Saalburg","SNR","Germany","Military Camp"
"311",14700,50.271515,8.566917,"Dressel 20","Saalburg","SNR","Germany","Military Camp"
"312",14704,50.271515,8.566917,"Dressel 20","Saalburg","SNR","Germany","Military Camp"
"313",14706,50.271515,8.566917,"Dressel 20","Saalburg","PNSI","Germany","Military Camp"
"314",14709,50.271515,8.566917,"Dressel 20","Saalburg","DOMS","Germany","Military Camp"
"315",14713,50.271515,8.566917,"Dressel 20","Saalburg","DOMS","Germany","Military Camp"
"316",14715,50.271515,8.566917,"Dressel 20","Saalburg","DOMS","Germany","Military Camp"
"317",14717,50.271515,8.566917,"Dressel 20","Saalburg","DOMS","Germany","Military Camp"
"318",14745,50.271515,8.566917,"Dressel 20","Saalburg","PPAC","Germany","Military Camp"
"319",14749,50.271515,8.566917,"Dressel 20","Saalburg","APAMPHORACO","Germany","Military Camp"
"320",14754,50.271515,8.566917,"Dressel 20","Saalburg","LPCHFILI","Germany","Military Camp"
"321",14756,50.271515,8.566917,"Dressel 20","Saalburg","LPFLPE","Germany","Military Camp"
"322",14762,50.271515,8.566917,"Dressel 20","Saalburg","MPM","Germany","Military Camp"
"323",14771,50.271515,8.566917,"Dressel 20","Saalburg","APP","Germany","Military Camp"
"324",14777,50.271515,8.566917,"Dressel 20","Saalburg","PMPS","Germany","Military Camp"
"325",14797,50.271515,8.566917,"Dressel 20","Saalburg","LQS","Germany","Military Camp"
"326",14798,50.271515,8.566917,"Dressel 20","Saalburg","LQS","Germany","Military Camp"
"327",14817,50.271515,8.566917,"Dressel 20","Saalburg","LQSK","Germany","Military Camp"
"328",14821,50.271515,8.566917,"Dressel 20","Saalburg","LQS","Germany","Military Camp"
"329",14829,50.271515,8.566917,"Dressel 20","Saalburg","LRCARPS","Germany","Military Camp"
"330",14866,50.271515,8.566917,"Dressel 20","Saalburg","MSP","Germany","Military Camp"
"331",14867,50.271515,8.566917,"Dressel 20","Saalburg","MSP","Germany","Military Camp"
